vehicle_id,make,model,variant,year,airbags,sensors,safety_features_count
veh_0083,Ford,F-150,XLT,2007,8,3,9
veh_0084,Nissan,Rogue,Touring,2022,9,5,11
veh_0085,Honda,CR-V,EX,2013,6,4,8
veh_0086,Ford,F-150,EX,2014,6,6,9
veh_0087,Hyundai,Elantra,Touring,2017,9,5,11
veh_0088,Honda,Civic,Sport,2009,7,2,8
veh_0089,Hyundai,Elantra,SE,2019,7,5,9
veh_0090,Hyundai,Elantra,LE,2020,8,4,10
veh_0091,Nissan,Rogue,Base,2021,2,0,2
veh_0092,Honda,Civic,Base,2021,2,1,2
veh_0093,Hyundai,Elantra,SE,2020,9,3,10
veh_0094,Honda,Civic,Touring,2023,3,4,5
veh_0095,Ford,F-150,Touring,2008,2,3,3
veh_0096,Nissan,Rogue,Limited,2022,5,0,5
veh_0097,Hyundai,Elantra,Limited,2012,6,2,7
veh_0098,Tesla,Model 3,EX,2024,6,6,9
veh_0099,Ford,F-150,Sport,2006,7,6,10
veh_0100,Nissan,Rogue,Sport,2007,4,4,6
